Date,Open,Close,High,Low
2019-07-23,88.61,90.3,90.61,88.61
2019-07-22,88.36,88.14,88.79,87.72
2019-07-19,89.82,88.4,90.42,88.06
2019-07-18,90.33,89.82,90.41,89.06
2019-07-17,91.99,90.42,91.99,90.26
2019-07-16,90.87,92.02,92.3,90.63
2019-07-15,90.9,90.81,91.5,90.45
2019-07-12,90.94,90.85,91.93,90.82
2019-07-11,90.65,90.87,91.1,89.98
2019-07-10,89.89,90.45,91.62,89.89
2019-07-09,90.6,89.84,90.6,88.98
2019-07-08,91.98,90.63,92.61,90.01
2019-07-05,91.7,92.04,92.9,91.0
2019-07-04,90.29,91.69,91.97,90.09
2019-07-03,88.16,90.31,90.31,87.48
2019-07-02,88.61,88.17,89.08,87.33
2019-07-01,88.34,88.6,89.82,88.34
2019-06-28,87.49,88.14,88.25,87.49
2019-06-27,86.87,87.48,88.18,86.87
2019-06-26,85.57,86.83,87.2,85.44
2019-06-25,85.98,85.57,85.98,84.86
2019-06-24,86.57,86.01,87.23,85.81
2019-06-21,86.93,86.59,88.16,86.29
2019-06-20,88.49,86.93,88.96,86.93
2019-06-19,87.0,88.48,88.57,86.95
2019-06-18,85.7,87.02,87.2,84.57
2019-06-17,85.82,85.7,86.7,85.7
2019-06-14,86.25,85.75,86.25,85.37
2019-06-13,86.49,86.4,87.1,85.63
2019-06-12,87.52,86.51,87.52,86.13
2019-06-11,87.54,87.54,88.43,87.13
2019-06-07,86.23,86.11,86.73,85.46
2019-06-06,87.4,86.2,88.83,85.41
2019-06-05,88.31,87.44,88.37,86.71
2019-06-04,85.82,88.3,88.42,85.51
2019-06-03,86.33,85.92,86.33,85.09
2019-05-31,87.65,86.36,87.65,85.69
2019-05-30,87.47,87.83,88.55,87.45
2019-05-29,87.64,87.26,87.64,86.39
2019-05-28,88.97,88.64,89.0,87.4
2019-05-27,89.7,88.97,90.1,88.46
2019-05-24,88.73,89.23,89.98,88.73
2019-05-23,90.22,88.83,90.22,88.6
2019-05-22,91.59,90.32,91.75,89.93
2019-05-21,91.16,91.62,91.98,90.88
2019-05-20,92.36,91.15,93.21,91.0
2019-05-17,94.23,93.34,94.23,92.59
2019-05-16,92.53,94.31,94.31,91.75
2019-05-15,92.98,92.58,92.98,91.26
2019-05-14,92.32,93.16,93.24,91.89
2019-05-13,93.82,92.13,93.82,92.03
2019-05-10,93.76,93.83,95.14,93.33
2019-05-09,96.26,93.72,96.26,93.59
2019-05-08,96.3,96.38,96.79,95.16
2019-05-07,98.58,96.36,98.73,96.1
2019-05-06,99.97,98.68,99.97,97.56
2019-05-03,100.55,100.18,101.42,99.69
2019-05-02,100.87,100.54,102.27,99.89
2019-04-30,101.04,100.73,101.13,100.1
2019-04-29,99.55,101.08,101.1,99.55
2019-04-26,99.27,99.76,100.19,98.55
2019-04-25,99.74,99.45,100.14,98.64
2019-04-24,101.7,100.15,102.16,99.53
2019-04-23,103.38,101.89,103.38,101.53
2019-04-18,103.54,103.54,103.7,101.86
2019-04-17,102.69,103.6,104.48,102.69
2019-04-16,101.68,102.7,102.89,101.45
2019-04-15,101.32,101.62,102.65,101.32
2019-04-12,98.31,101.02,101.73,97.49
2019-04-11,96.69,98.29,98.91,96.1
2019-04-10,97.52,96.73,98.17,96.41
2019-04-09,97.24,97.42,98.51,96.93
2019-04-08,97.73,97.32,98.05,97.0
2019-04-05,98.39,98.03,98.73,97.7
2019-04-04,97.65,98.36,98.55,96.83
2019-04-03,96.22,97.66,98.07,96.22
2019-04-02,95.97,96.11,96.74,95.5
2019-04-01,93.31,95.86,96.16,93.31
2019-03-29,92.84,93.25,93.61,92.5
2019-03-28,93.23,92.41,93.26,91.86
2019-03-27,91.9,93.45,95.3,91.52
2019-03-26,92.31,91.75,92.61,91.53
2019-03-25,92.36,92.21,93.39,91.42
2019-03-22,95.63,92.41,95.98,92.24
2019-03-21,96.87,95.32,96.87,95.18
2019-03-20,98.43,96.96,98.68,96.96
2019-03-19,98.45,98.51,99.48,97.61
2019-03-18,96.59,98.32,98.65,96.59
2019-03-15,95.79,96.78,96.78,95.44
2019-03-14,95.14,95.71,96.48,95.12
2019-03-13,93.52,95.06,95.31,93.48
2019-03-12,94.14,93.57,94.98,93.17
2019-03-11,92.41,93.93,94.15,92.41
2019-03-08,93.35,92.03,93.35,91.35
2019-03-07,97.01,93.8,97.43,93.02
2019-03-06,96.68,97.02,97.59,95.84
2019-03-05,97.5,96.79,98.35,96.16
2019-03-04,97.74,97.51,98.59,97.42
2019-03-01,98.45,97.68,99.0,97.68
2019-02-28,95.97,98.17,98.59,95.35
2019-02-27,94.18,96.24,96.43,93.71
2019-02-26,93.91,94.32,94.55,93.11
2019-02-25,93.05,94.12,94.48,93.05
2019-02-22,92.44,92.71,93.55,92.38
2019-02-21,93.6,92.54,93.77,92.3
2019-02-20,93.08,93.58,93.67,92.39
2019-02-19,93.37,92.94,93.58,92.0
2019-02-18,92.68,93.45,93.83,92.68
2019-02-15,89.22,92.61,92.84,88.79
2019-02-14,90.85,89.37,91.42,89.3
2019-02-13,90.91,90.71,91.54,90.29
2019-02-12,90.46,90.81,91.35,90.07
2019-02-11,88.88,89.92,90.54,88.88
2019-02-08,89.51,88.62,89.84,87.98
2019-02-07,92.7,89.58,93.11,89.58
2019-02-06,90.24,92.36,92.59,90.03
2019-02-05,89.07,90.68,90.88,88.82
2019-02-04,90.04,89.04,90.44,88.36
2019-02-01,91.23,90.09,91.23,88.95
2019-01-31,93.79,91.15,94.19,90.54
2019-01-30,93.7,93.55,94.38,93.08
2019-01-29,94.09,93.96,94.48,93.18
2019-01-28,95.51,94.11,95.51,93.85
2019-01-25,93.45,95.58,95.61,93.45
2019-01-24,93.82,93.21,94.86,92.43
2019-01-23,92.83,93.75,94.43,92.14
2019-01-22,93.52,92.93,93.52,92.3
2019-01-21,94.31,93.9,94.31,93.49
2019-01-18,92.81,94.33,94.36,92.81
2019-01-17,93.89,92.38,93.89,92.31
2019-01-16,91.44,94.3,94.34,91.44
2019-01-15,92.06,91.28,92.81,90.16
2019-01-14,91.6,91.4,91.72,90.45
2019-01-11,91.63,91.73,92.0,91.0
2019-01-10,90.71,91.65,91.71,90.12
2019-01-09,91.4,90.97,92.13,90.53
2019-01-08,91.01,91.2,92.28,90.61
2019-01-07,90.56,90.95,91.31,90.07
2019-01-04,87.05,90.48,90.58,87.05
2019-01-03,86.27,86.66,87.69,85.89
2019-01-02,86.27,86.61,86.92,84.53
2018-12-28,85.14,86.76,86.95,85.1
2018-12-27,86.13,84.8,86.93,83.97
2018-12-21,87.35,86.74,87.37,85.2
2018-12-20,89.61,87.43,89.61,87.43
2018-12-19,90.08,90.53,91.51,90.08
2018-12-18,90.04,90.03,91.12,89.69
2018-12-17,92.0,90.31,92.0,90.31
2018-12-14,92.49,92.04,92.49,90.34
2018-12-13,92.23,92.78,94.22,92.23
2018-12-12,89.54,92.09,92.39,89.52
2018-12-11,89.38,89.42,90.52,89.01
2018-12-10,91.39,89.19,91.63,89.11
2018-12-07,91.95,91.58,93.09,91.58
2018-12-06,95.17,91.55,95.17,91.31
2018-12-05,96.06,95.65,96.36,94.55
2018-12-04,98.08,96.2,98.21,96.19
2018-12-03,97.21,98.48,99.27,97.21
2018-11-30,97.53,96.85,97.59,96.28
2018-11-29,98.21,97.53,98.83,97.09
2018-11-28,97.76,97.75,98.48,97.51
2018-11-27,98.17,97.66,98.49,97.02
2018-11-26,96.25,98.16,98.42,96.25
2018-11-23,95.15,95.38,96.18,94.89
2018-11-22,95.89,95.09,95.89,94.36
2018-11-21,94.93,96.03,96.4,94.93
2018-11-20,96.71,94.53,96.71,94.5
2018-11-19,96.96,96.85,98.29,96.85
2018-11-16,97.8,97.0,98.45,96.47
2018-11-15,98.73,97.59,99.48,96.78
2018-11-14,99.05,98.63,99.72,97.77
2018-11-13,97.96,99.23,99.45,97.84
2018-11-12,99.28,97.84,99.72,97.75
2018-11-09,100.13,99.17,100.13,98.2
2018-11-08,100.57,100.45,101.48,100.23
2018-11-07,98.85,100.36,100.92,98.85
2018-11-06,99.42,98.86,99.46,98.14
2018-11-05,99.84,99.37,100.1,99.29
2018-11-02,99.14,99.74,100.54,99.14
2018-11-01,96.8,98.31,98.77,96.8
2018-10-31,96.37,96.89,98.3,96.37
2018-10-30,96.9,96.26,97.05,95.69
2018-10-29,95.71,97.01,97.71,95.71
2018-10-26,96.18,95.43,96.18,94.14
2018-10-25,94.86,96.4,97.02,94.49
2018-10-24,97.16,94.95,97.16,94.95
2018-10-23,97.97,97.1,98.14,96.66
2018-10-22,100.45,98.35,101.63,98.17
2018-10-19,99.75,99.51,100.18,97.2
2018-10-18,102.18,100.08,102.95,100.05
2018-10-17,103.02,102.33,103.9,101.98
2018-10-16,102.0,102.85,103.04,101.51
2018-10-15,101.76,101.92,102.35,101.14
2018-10-12,102.86,101.84,103.85,101.69
2018-10-11,103.23,102.36,103.84,102.15
2018-10-10,104.26,104.28,105.99,103.66
2018-10-09,103.54,104.28,104.72,102.62
2018-10-08,104.7,103.42,104.7,102.73
2018-10-05,106.06,105.04,106.06,104.72
2018-10-04,105.53,106.08,106.89,105.26
2018-10-03,105.09,105.39,106.52,104.92
2018-10-02,104.91,104.66,105.6,102.95
2018-10-01,106.25,105.3,107.46,105.03
2018-09-28,110.18,106.55,110.18,104.93
2018-09-27,110.96,110.9,111.0,108.84
2018-09-26,111.77,111.25,112.02,111.07
2018-09-25,111.07,111.74,112.26,111.07
2018-09-24,111.99,110.9,111.99,110.69
2018-09-21,111.91,112.01,113.28,111.48
2018-09-20,110.55,111.78,112.67,110.55
2018-09-19,108.64,110.42,110.57,108.56
2018-09-18,108.18,108.6,108.64,107.75
2018-09-17,106.83,108.16,108.49,106.71
2018-09-14,106.5,106.89,107.18,105.97
2018-09-13,105.22,106.36,107.17,105.15
2018-09-12,105.66,105.24,105.66,104.1
2018-09-11,106.02,105.5,106.51,104.79
2018-09-10,104.04,105.81,106.52,103.89
2018-09-07,105.71,104.2,105.93,102.86
2018-09-06,106.39,105.56,106.89,105.55
2018-09-05,105.68,106.58,107.68,105.28
2018-09-04,105.06,105.7,105.85,104.04
2018-09-03,104.15,104.44,104.65,103.87
2018-08-31,105.05,104.16,105.18,103.89
2018-08-30,106.66,105.04,106.71,105.04
2018-08-29,106.3,106.7,106.8,105.68
2018-08-28,107.35,106.32,107.62,105.92
2018-08-27,106.81,107.3,107.51,106.38
2018-08-24,106.55,106.61,107.5,106.49
2018-08-23,106.99,106.56,107.28,106.2
2018-08-22,106.72,106.92,107.52,106.54
2018-08-21,105.15,106.77,107.21,105.02
2018-08-20,105.17,105.24,106.38,104.93
2018-08-17,105.98,105.14,106.05,104.2
