"Date","sigma_hat","mu","w","a1","b1","lam_VSTOXX_1","lam_Euribor6m_1"
2005-02-25,17.3346344936742,NA,NA,NA,NA,NA,NA
2005-03-04,16.0134493019415,NA,NA,NA,NA,NA,NA
2005-03-11,17.3855887027197,NA,NA,NA,NA,NA,NA
2005-03-18,17.6868097887618,NA,NA,NA,NA,NA,NA
2005-03-25,18.3176671661932,NA,NA,NA,NA,NA,NA
2005-04-01,17.8398791540652,NA,NA,NA,NA,NA,NA
2005-04-08,13.6485293749964,NA,NA,NA,NA,NA,NA
2005-04-15,15.1794938758228,NA,NA,NA,NA,NA,NA
2005-04-22,17.076575905476,NA,NA,NA,NA,NA,NA
2005-04-29,18.2995915224907,NA,NA,NA,NA,NA,NA
2005-05-06,19.8974753782158,NA,NA,NA,NA,NA,NA
2005-05-13,21.7685518923003,NA,NA,NA,NA,NA,NA
2005-05-20,18.8726972593261,NA,NA,NA,NA,NA,NA
2005-05-27,19.8353397936941,NA,NA,NA,NA,NA,NA
2005-06-03,19.1348404731788,NA,NA,NA,NA,NA,NA
2005-06-10,19.2302772211375,NA,NA,NA,NA,NA,NA
2005-06-17,19.9047389001479,NA,NA,NA,NA,NA,NA
2005-06-24,20.9154640565408,NA,NA,NA,NA,NA,NA
2005-07-01,21.0419076407016,NA,NA,NA,NA,NA,NA
2005-07-08,21.6722885330724,NA,NA,NA,NA,NA,NA
2005-07-15,19.7507696086824,NA,NA,NA,NA,NA,NA
2005-07-22,21.5537276395891,NA,NA,NA,NA,NA,NA
2005-07-29,22.661776514626,NA,NA,NA,NA,NA,NA
2005-08-05,19.4272262011732,NA,NA,NA,NA,NA,NA
2005-08-12,18.9320697318421,NA,NA,NA,NA,NA,NA
2005-08-19,19.756862827628,NA,NA,NA,NA,NA,NA
2005-08-26,18.2323873390101,NA,NA,NA,NA,NA,NA
2005-09-02,20.3209778355114,NA,NA,NA,NA,NA,NA
2005-09-09,21.5573644709066,NA,NA,NA,NA,NA,NA
2005-09-16,23.5508761932604,NA,NA,NA,NA,NA,NA
2005-09-23,21.6731038738805,NA,NA,NA,NA,NA,NA
2005-09-30,20.6030602386732,NA,NA,NA,NA,NA,NA
2005-10-07,22.9276170951753,NA,NA,NA,NA,NA,NA
2005-10-14,22.0568867515771,NA,NA,NA,NA,NA,NA
2005-10-21,19.243578451833,NA,NA,NA,NA,NA,NA
2005-10-28,21.2852939965452,NA,NA,NA,NA,NA,NA
2005-11-04,18.86531362339,NA,NA,NA,NA,NA,NA
2005-11-11,21.6910022637988,NA,NA,NA,NA,NA,NA
2005-11-18,23.3553237720866,NA,NA,NA,NA,NA,NA
2005-11-25,22.2592772176687,NA,NA,NA,NA,NA,NA
2005-12-02,22.1981553195768,NA,NA,NA,NA,NA,NA
2005-12-09,21.6419542630101,NA,NA,NA,NA,NA,NA
2005-12-16,20.6980025640957,NA,NA,NA,NA,NA,NA
2005-12-23,21.2688496178591,NA,NA,NA,NA,NA,NA
2005-12-30,22.1464807836795,NA,NA,NA,NA,NA,NA
